time,seconds_elapsed,z,y,x,Activity,Shake
1743284676592171800,9.081171875,-1.4748282432556152,-8.130708694458008,-6.780379295349121,In Pocket,False
1743284676602242300,9.0912421875,-1.81959331035614,-8.322244644165039,-6.952761650085449,In Pocket,False
1743284676612282600,9.10128271484375,-1.8962076902389529,-8.494627952575684,-7.402871608734131,In Pocket,False
1743284676622322700,9.11132275390625,-1.6950948238372805,-8.695740699768066,-8.14028549194336,In Pocket,False
1743284676632363000,9.121363037109376,-1.3886369466781616,-9.136273384094238,-9.002198219299316,In Pocket,False
1743284676642403000,9.131403076171877,-0.7948749661445618,-9.586383819580078,-9.519346237182615,In Pocket,False
1743284676652443400,9.141443359375,-0.2394201755523681,-10.017339706420898,-9.481039047241213,In Pocket,False
1743284676662483500,9.1514833984375,0.0383072271943092,-10.582371711730955,-9.279925346374512,In Pocket,False
1743284676672523800,9.161523681640626,-0.0478840321302413,-10.946290016174316,-8.676587104797363,In Pocket,False
1743284676682563800,9.171563720703125,-0.0191536135971546,-11.319786071777344,-7.939172744750977,In Pocket,False
1743284676692604000,9.18160400390625,-0.0287304203957319,-11.72201156616211,-7.230489253997803,In Pocket,False
1743284676702674700,9.1916748046875,-0.0670376494526863,-11.932701110839844,-6.387730121612549,In Pocket,False
1743284676712715000,9.201715087890625,-0.0287304203957319,-12.038045883178713,-5.851428985595703,In Pocket,False
1743284676722755000,9.211755126953124,-0.0287304203957319,-11.856086730957031,-5.458779811859131,In Pocket,False
1743284676732795100,9.221795166015625,-0.3447650372982025,-11.568782806396484,-5.190629482269287,In Pocket,False
1743284676742835500,9.23183544921875,-0.9576807022094728,-11.15697956085205,-4.903325080871582,In Pocket,False
1743284676752875500,9.24187548828125,-2.0015525817871094,-10.5344877243042,-4.481945514678955,In Pocket,False
1743284676762915800,9.251915771484375,-3.07415509223938,-9.854534149169922,-3.993528366088867,In Pocket,False
1743284676772956000,9.261955810546874,-3.754108190536499,-9.279925346374512,-3.562572240829468,In Pocket,False
1743284676782996200,9.271996337890624,-4.137180328369141,-9.08838939666748,-3.189076662063598,In Pocket,False
1743284676793036300,9.282036376953124,-4.395754337310791,-9.069235801696776,-3.3039982318878174,In Pocket,False
1743284676803107000,9.292107177734374,-4.702212333679199,-8.992621421813965,-3.4763808250427246,In Pocket,False
1743284676813147100,9.302147216796875,-5.085284233093262,-8.916007041931152,-3.562572240829468,In Pocket,False
1743284676823187500,9.3121875,-5.439626216888428,-8.944737434387207,-3.552995204925537,In Pocket,False
1743284676833227500,9.3222275390625,-5.324704647064209,-9.02135181427002,-3.6966474056243896,In Pocket,False
1743284676843267800,9.332267822265624,-4.912901878356934,-9.27034854888916,-4.232948780059815,In Pocket,False
1743284676853308000,9.342307861328123,-4.185064792633057,-9.490615844726562,-4.568136692047119,In Pocket,False
1743284676863348000,9.352347900390624,-2.920926094055176,-9.53849983215332,-4.912901878356934,In Pocket,False
1743284676873388300,9.36238818359375,-1.4077905416488647,-9.500192642211914,-5.353435039520264,In Pocket,False
1743284676883428400,9.372428466796874,-0.4788403511047363,-9.41400146484375,-5.39174222946167,In Pocket,False
1743284676893468700,9.38246875,-0.0766144543886184,-9.193734169006348,-5.583278179168701,In Pocket,False
1743284676903539200,9.392539306640623,-0.1436520963907241,-8.973467826843262,-5.554547786712647,In Pocket,False
1743284676913579500,9.40257958984375,-0.4118026793003082,-8.35097599029541,-5.4013190269470215,In Pocket,False
1743284676923619600,9.41261962890625,-0.9864110946655272,-7.939172744750977,-5.372588634490967,In Pocket,False
1743284676933660000,9.422659912109374,-1.9057846069335935,-7.450755596160889,-5.65031623840332,In Pocket,False
1743284676943700000,9.432699951171877,-2.748543500900269,-7.173028469085693,-6.799532890319824,In Pocket,False
1743284676953740300,9.442740234375,-3.25611424446106,-6.71334171295166,-6.991068840026856,In Pocket,False
1743284676963780400,9.4527802734375,-3.667917013168335,-6.502651691436768,-7.134721279144287,In Pocket,False
1743284676973820700,9.462820556640626,-4.137180328369141,-6.224924564361572,-6.167463779449463,In Pocket,False
1743284676983860700,9.47286083984375,-4.663905143737793,-6.129156112670898,-6.3973069190979,In Pocket,False
1743284676993900800,9.48290087890625,-4.491522312164307,-5.975927352905273,-6.167463779449463,In Pocket,False
1743284677003971600,9.4929716796875,-4.414907932281494,-5.774814605712891,-6.090848922729492,In Pocket,False
1743284677014012000,9.503011962890625,-3.88818359375,-5.659893035888672,-6.100425720214844,In Pocket,False
1743284677024052000,9.513052001953126,-3.380612850189209,-5.813121795654297,-6.196194171905518,In Pocket,False
1743284677034092000,9.523092041015625,-2.748543500900269,-5.669469833374023,-6.215347766876221,In Pocket,False
